index,aria-level,title,id,href,parent,l0_id,l1_id,l2_id,l3_id,l4_id,l5_id,l6_id,l7_id,l0_title,l1_title,l2_title,l3_title,l4_title,l5_title,l6_title,l7_title
0,0,Sales Cloud Basics,sales_core_leaf,/s/articleView?id=sf.sales_core.htm&language=en_US&type=5,,sales_core_leaf,,,,,,,,Sales Cloud Basics,,,,,,,
1,1,"Learn About, Implement, and Optimize Sales Cloud Features",sales_core_basics_leaf,/s/articleView?id=sf.sales_core_basics.htm&language=en_US&type=5,sales_core_leaf,sales_core_leaf,sales_core_basics_leaf,,,,,,,Sales Cloud Basics,"Learn About, Implement, and Optimize Sales Cloud Features",,,,,,
2,1,"See an Overview of Metrics, Goals, Suggestions, Tasks, and Activities in Seller Home",sales_core_seller_home_leaf,/s/articleView?id=sf.sales_core_seller_home.htm&language=en_US&type=5,sales_core_leaf,sales_core_leaf,sales_core_seller_home_leaf,,,,,,,Sales Cloud Basics,"See an Overview of Metrics, Goals, Suggestions, Tasks, and Activities in Seller Home",,,,,,
3,1,Organize and Find Records Easily with Personal Labels,sales_core_record_labels_leaf,/s/articleView?id=sf.sales_core_record_labels.htm&language=en_US&type=5,sales_core_leaf,sales_core_leaf,sales_core_record_labels_leaf,,,,,,,Sales Cloud Basics,Organize and Find Records Easily with Personal Labels,,,,,,
4,1,Capture ROI with Campaigns,sales_core_bring_in_leads_leaf,/s/articleView?id=sf.sales_core_bring_in_leads.htm&language=en_US&type=5,sales_core_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,,,,,,,Sales Cloud Basics,Capture ROI with Campaigns,,,,,,
5,2,Get to Know Salesforce Campaigns,campaigns_def_leaf,/s/articleView?id=sf.campaigns_def.htm&language=en_US&type=5,sales_core_bring_in_leads_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,campaigns_def_leaf,,,,,,Sales Cloud Basics,Capture ROI with Campaigns,Get to Know Salesforce Campaigns,,,,,
6,3,Tour the Campaigns Object,campaigns_tour_leaf,/s/articleView?id=sf.campaigns_tour.htm&language=en_US&type=5,campaigns_def_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,campaigns_def_leaf,campaigns_tour_leaf,,,,,Sales Cloud Basics,Capture ROI with Campaigns,Get to Know Salesforce Campaigns,Tour the Campaigns Object,,,,
7,3,How Campaigns Can Help,campaigns_use_cases_leaf,/s/articleView?id=sf.campaigns_use_cases.htm&language=en_US&type=5,campaigns_def_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,campaigns_def_leaf,campaigns_use_cases_leaf,,,,,Sales Cloud Basics,Capture ROI with Campaigns,Get to Know Salesforce Campaigns,How Campaigns Can Help,,,,
8,3,Use Campaigns with Other Clouds,campaigns_use_cases_other_clouds_leaf,/s/articleView?id=sf.campaigns_use_cases_other_clouds.htm&language=en_US&type=5,campaigns_def_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,campaigns_def_leaf,campaigns_use_cases_other_clouds_leaf,,,,,Sales Cloud Basics,Capture ROI with Campaigns,Get to Know Salesforce Campaigns,Use Campaigns with Other Clouds,,,,
9,3,Understand Campaign Hierarchy,campaigns_hierarchy_leaf,/s/articleView?id=sf.campaigns_hierarchy.htm&language=en_US&type=5,campaigns_def_leaf,sales_core_leaf,sales_core_bring_in_leads_leaf,campaigns_def_leaf,campaigns_hierarchy_leaf,,,,,Sales Cloud Basics,Capture ROI with Campaigns,Get to Know Salesforce Campaigns,Understand Campaign Hierarchy,,,,
