index,aria-level,title,id,href,parent,l0_id,l1_id,l2_id,l3_id,l4_id,l5_id,l6_id,l7_id,l8_id,l0_title,l1_title,l2_title,l3_title,l4_title,l5_title,l6_title,l7_title,l8_title
0,0,Service Cloud,service_cloud_leaf,/s/articleView?id=sf.service_cloud.htm&language=en_US&type=5,,service_cloud_leaf,,,,,,,,,Service Cloud,,,,,,,,
1,1,What’s Service?,service_cloud_def_leaf,/s/articleView?id=sf.service_cloud_def.htm&language=en_US&type=5,service_cloud_leaf,service_cloud_leaf,service_cloud_def_leaf,,,,,,,,Service Cloud,What’s Service?,,,,,,,
2,1,Set Up Service Cloud Basics,support_admins_intro_leaf,/s/articleView?id=sf.support_admins_intro.htm&language=en_US&type=5,service_cloud_leaf,service_cloud_leaf,support_admins_intro_leaf,,,,,,,,Service Cloud,Set Up Service Cloud Basics,,,,,,,
3,2,Service Setup Assistant,console_lex_service_setup_leaf,/s/articleView?id=sf.console_lex_service_setup.htm&language=en_US&type=5,support_admins_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,console_lex_service_setup_leaf,,,,,,,Service Cloud,Set Up Service Cloud Basics,Service Setup Assistant,,,,,,
4,3,Service Setup Assistant Features,console_lex_update_service_setup_assistant_leaf,/s/articleView?id=sf.console_lex_update_service_setup_assistant.htm&language=en_US&type=5,console_lex_service_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,console_lex_service_setup_leaf,console_lex_update_service_setup_assistant_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,Service Setup Assistant,Service Setup Assistant Features,,,,,
6,2,General Settings,admin_supportsetup_leaf,/s/articleView?id=sf.admin_supportsetup.htm&language=en_US&type=5,support_admins_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,,,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,,,,,,
7,3,Customize Support Settings,customize_supportrules_leaf,/s/articleView?id=sf.customize_supportrules.htm&language=en_US&type=5,admin_supportsetup_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,customize_supportrules_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,Customize Support Settings,,,,,
8,3,Set Business Hours,customize_supporthours_leaf,/s/articleView?id=sf.customize_supporthours.htm&language=en_US&type=5,admin_supportsetup_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,customize_supporthours_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,Set Business Hours,,,,,
9,4,Guidelines for Setting Business Hours,customize_supporthours_guidelines_leaf,/s/articleView?id=sf.customize_supporthours_guidelines.htm&language=en_US&type=5,customize_supporthours_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,customize_supporthours_leaf,customize_supporthours_guidelines_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,Set Business Hours,Guidelines for Setting Business Hours,,,,
11,3,Set Up Support Holidays,customizesupport_holidays_leaf,/s/articleView?id=sf.customizesupport_holidays.htm&language=en_US&type=5,admin_supportsetup_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,customizesupport_holidays_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,Set Up Support Holidays,,,,,
12,4,Guidelines for Creating Support Holidays,customizesupport_holidays_guidelines_leaf,/s/articleView?id=sf.customizesupport_holidays_guidelines.htm&language=en_US&type=5,customizesupport_holidays_leaf,service_cloud_leaf,support_admins_intro_leaf,admin_supportsetup_leaf,customizesupport_holidays_leaf,customizesupport_holidays_guidelines_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,General Settings,Set Up Support Holidays,Guidelines for Creating Support Holidays,,,,
21,2,Cases,cases_intro_leaf,/s/articleView?id=sf.cases_intro.htm&language=en_US&type=5,support_admins_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,,,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,,,,,,
22,3,What’s a Case?,cases_def_leaf,/s/articleView?id=sf.cases_def.htm&language=en_US&type=5,cases_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,cases_def_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,What’s a Case?,,,,,
23,3,Case Teams,caseteam_setup_leaf,/s/articleView?id=sf.caseteam_setup.htm&language=en_US&type=5,cases_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,,,,,
24,4,What’s a Case Team?,caseteam_def_leaf,/s/articleView?id=sf.caseteam_def.htm&language=en_US&type=5,caseteam_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,caseteam_def_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,What’s a Case Team?,,,,
25,4,Create Case Team Roles,caseteam_roles_leaf,/s/articleView?id=sf.caseteam_roles.htm&language=en_US&type=5,caseteam_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,caseteam_roles_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,Create Case Team Roles,,,,
26,4,Predefine Case Teams,caseteam_predefine_team_leaf,/s/articleView?id=sf.caseteam_predefine_team.htm&language=en_US&type=5,caseteam_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,caseteam_predefine_team_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,Predefine Case Teams,,,,
27,4,Set Up Email Alerts for Case Teams,caseteam_setup_email_alerts_leaf,/s/articleView?id=sf.caseteam_setup_email_alerts.htm&language=en_US&type=5,caseteam_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,caseteam_setup_email_alerts_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,Set Up Email Alerts for Case Teams,,,,
28,4,Case Team Fields,caseteam_fields_leaf,/s/articleView?id=sf.caseteam_fields.htm&language=en_US&type=5,caseteam_setup_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,caseteam_setup_leaf,caseteam_fields_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Case Teams,Case Team Fields,,,,
34,3,Set Up Cases for Agents,cases_set_up_intro_leaf,/s/articleView?id=sf.cases_set_up_intro.htm&language=en_US&type=5,cases_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,cases_set_up_intro_leaf,,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Set Up Cases for Agents,,,,,
35,4,In Salesforce Classic,case_interaction_setting_up_leaf,/s/articleView?id=sf.case_interaction_setting_up.htm&language=en_US&type=5,cases_set_up_intro_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,cases_set_up_intro_leaf,case_interaction_setting_up_leaf,,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Set Up Cases for Agents,In Salesforce Classic,,,,
36,5,Case Feed Upgrade Process,case_interaction_upgrading_cases_leaf,/s/articleView?id=sf.case_interaction_upgrading_cases.htm&language=en_US&type=5,case_interaction_setting_up_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,cases_set_up_intro_leaf,case_interaction_setting_up_leaf,case_interaction_upgrading_cases_leaf,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Set Up Cases for Agents,In Salesforce Classic,Case Feed Upgrade Process,,,
37,5,Enable Case Feed,case_interaction_enabling_leaf,/s/articleView?id=sf.case_interaction_enabling.htm&language=en_US&type=5,case_interaction_setting_up_leaf,service_cloud_leaf,support_admins_intro_leaf,cases_intro_leaf,cases_set_up_intro_leaf,case_interaction_setting_up_leaf,case_interaction_enabling_leaf,,,,Service Cloud,Set Up Service Cloud Basics,Cases,Set Up Cases for Agents,In Salesforce Classic,Enable Case Feed,,,
